FIN_REFERENCE,SAMMAAN,V_SCORE,CREATED_DATE,LOGIN_DATE,LOAN_REQ_AMT,ROI,LOAN_SANC_DT,SANC_AMT,TENURE,GRUH
HLSA0003B8C6,0,4.40000,2023-03-25,2023-03-26T01:41:34Z,1800000,12.5,2023-03-30T00:00:00Z,1550000,240,0
M0196418,0,-1.00000,2022-08-19,2022-08-19T16:04:17Z,3000000,11,2022-08-20T00:00:00Z,3000000,240,0
M0252598TU,1,-1.00000,2022-11-28,2050-01-01T00:00:00Z,0,10,2050-01-01T00:00:00Z,0,120,0
HLSA000367B6TU,0,-1.00000,2023-03-28,2050-01-01T00:00:00Z,0,10,2050-01-01T00:00:00Z,0,120,0
HLSA0000CE42,0,-1.00000,2023-01-19,2023-01-19T23:53:28Z,1400000,10,2023-01-21T00:00:00Z,1400000,107,0
M0184122,0,1.00000,2022-08-04,2022-08-05T15:35:39Z,6000000,10,2050-01-01T00:00:00Z,0,0,0
HLSA000098F4,0,2.00000,2022-12-27,2023-01-07T12:07:47Z,2600000,11,2050-01-01T00:00:00Z,0,0,0
HLSA000407F0,0,4.40000,2023-04-25,2023-04-25T12:46:02Z,2100000,12,2050-01-01T00:00:00Z,0,0,0
HLSA00031EB7TU,1,-1.00000,2023-03-04,2050-01-01T00:00:00Z,0,10.5,2050-01-01T00:00:00Z,0,156,0
M0258276TU,1,-1.00000,2022-11-23,2050-01-01T00:00:00Z,0,9,2050-01-01T00:00:00Z,0,120,0
M0258713TU,1,-1.00000,2022-11-29,2050-01-01T00:00:00Z,0,9.5,2050-01-01T00:00:00Z,0,48,0
HLSA0002ECE9,1,12.00000,2023-02-21,2023-02-21T15:23:42Z,810000,9.75,2023-02-21T00:00:00Z,1187999,149,0
M0259265TU,1,-1.00000,2022-11-29,2050-01-01T00:00:00Z,0,9,2050-01-01T00:00:00Z,0,204,0
HLSA00048F97,1,18.00000,2023-05-18,2023-05-18T16:11:46Z,1900000,10,2023-05-19T00:00:00Z,1364864,103,0
HLSA0003689C,0,7.00000,2023-03-10,2023-03-10T17:41:23Z,4000000,10,2023-03-15T00:00:00Z,3900000,240,0
HLSA0000CD4D,0,4.30000,2023-01-19,2023-01-20T15:22:40Z,5000000,10.5,2023-01-27T00:00:00Z,4650000,240,0
M0260182TU,1,-1.00000,2022-11-22,2050-01-01T00:00:00Z,0,10,2050-01-01T00:00:00Z,0,72,0
HLSA00044272,0,3.00000,2023-05-08,2023-05-11T10:31:27Z,1200000,11,2050-01-01T00:00:00Z,0,0,0
HLSA00046C6E,1,13.00000,2023-05-09,2023-05-09T22:11:52Z,1900000,10.5,2023-05-15T00:00:00Z,1205333,62,0
HLSA0001E2D4,0,4.40000,2023-02-09,2023-02-14T16:48:59Z,500000,10,2023-02-21T00:00:00Z,500000,240,0
HLSA0003F1E0TU,1,-1.00000,2023-04-21,2050-01-01T00:00:00Z,0,10,2050-01-01T00:00:00Z,0,120,0
HLSA00035E41,0,4.10000,2023-03-08,2023-03-10T12:29:19Z,6000000,9.75,2050-01-01T00:00:00Z,0,0,0
HLSA0000444E,0,12.00000,2022-10-12,2022-10-14T15:34:16Z,3500000,10.5,2050-01-01T00:00:00Z,0,0,0
HLSA0004270D,0,4.50000,2023-04-18,2023-04-20T12:39:57Z,2000000,10.5,2050-01-01T00:00:00Z,0,0,0
HLSA0004988B,1,18.00000,2023-05-20,2023-05-20T14:24:57Z,2205992,10,2023-05-20T00:00:00Z,2205242,240,0
HLSA0003A58B,0,8.00000,2023-03-20,2023-03-25T18:56:10Z,1000000,10,2050-01-01T00:00:00Z,0,0,0
HLSA0002D2A7,0,4.20000,2023-02-17,2023-02-21T23:15:12Z,5000000,9.75,2050-01-01T00:00:00Z,0,0,0
M0241537TU,1,-1.00000,2022-11-22,2050-01-01T00:00:00Z,0,10,2050-01-01T00:00:00Z,0,168,0
HLSA000096AFTU,1,-1.00000,2022-12-24,2050-01-01T00:00:00Z,0,10.3,2050-01-01T00:00:00Z,0,108,0
M0256015,0,1.00000,2022-11-14,2022-11-18T13:18:53Z,3500000,10.5,2050-01-01T00:00:00Z,0,0,0
HLSA0000C636,0,4.50000,2023-01-17,2023-01-19T17:59:05Z,2000000,11,2023-01-23T00:00:00Z,1340000,300,0
HLSA00040EE1,0,-1.00000,2023-04-13,2023-04-13T17:32:40Z,1400000,12,2050-01-01T00:00:00Z,0,0,0
M0230374,0,10.00000,2022-10-10,2022-10-11T15:14:32Z,1700000,10,2022-10-14T00:00:00Z,1045521,300,0
HLSA000481BD,1,11.00000,2023-05-16,2023-05-16T15:44:00Z,2065486,10,2023-05-16T00:00:00Z,2029577,228,0
HLSA00047008,0,4.30000,2023-05-11,2023-05-12T12:43:29Z,5500000,11,2050-01-01T00:00:00Z,0,0,0
M0242706,1,11.00000,2022-10-21,2022-10-22T01:29:19Z,2250000,10,2022-10-26T00:00:00Z,1644174,209,0
HLSA00049849,0,10.00000,2023-05-20,2023-05-20T15:42:04Z,1200000,11.35,2023-05-22T00:00:00Z,1100000,240,0
HLSA00003FF9,0,-1.00000,2022-10-10,2022-10-12T13:26:22Z,1500000,12.5,2022-10-14T00:00:00Z,1200000,240,0
HLSA000025BF,0,2.00000,2022-09-08,2022-09-10T14:46:11Z,5000000,10.5,2022-09-21T00:00:00Z,0,0,1
HLSA0000C226,0,1.00000,2023-01-22,2023-01-25T01:09:49Z,1500000,10,2050-01-01T00:00:00Z,0,0,0
M0245713TU,1,-1.00000,2022-11-01,2050-01-01T00:00:00Z,0,10,2050-01-01T00:00:00Z,0,240,0
HLSA0004875ETU,1,-1.00000,2023-05-30,2050-01-01T00:00:00Z,0,10.92,2050-01-01T00:00:00Z,0,38,0
